gene,term
SDHB,KEGG_MM_CITRATE_CYCLE
IDH3A,KEGG_MM_CITRATE_CYCLE
PDHB,KEGG_MM_CITRATE_CYCLE
CSL,KEGG_MM_CITRATE_CYCLE
PCK2,KEGG_MM_CITRATE_CYCLE
DLST,KEGG_MM_CITRATE_CYCLE
H6PD,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PGD,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PRPS2,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
ALDOA,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
ALDOC,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
FBP2,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
FBP1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
G6PD2,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
G6PDX,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
GPI1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PFKL,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PFKM,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PRPS1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
RGN,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
RPIA,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
TALDO1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
TKT,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
ALDOB,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
DERA,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PRPS1L3,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
ALDOART1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PFKP,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PGLS,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
RPE,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PGM1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
RBKS,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PGM2,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
TKTL2,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
PRPS1L1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
TKTL1,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY
UGT2B38,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2B34,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
XYLB,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
GUSB,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
UGT2B37,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
ALDH2,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
ALDH3A2,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
AKR1B3,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
AKR1B7,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
AKR1B8,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
KL,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
