gene,term
GABRG3,KEGG_MM_MORPHINE_ADDICTION
GABRR1,KEGG_MM_MORPHINE_ADDICTION
GABRR2,KEGG_MM_MORPHINE_ADDICTION
GNAI1,KEGG_MM_MORPHINE_ADDICTION
GNAI2,KEGG_MM_MORPHINE_ADDICTION
GNAI3,KEGG_MM_MORPHINE_ADDICTION
GNAO1,KEGG_MM_MORPHINE_ADDICTION
GNAS,KEGG_MM_MORPHINE_ADDICTION
GNB1,KEGG_MM_MORPHINE_ADDICTION
GNB2,KEGG_MM_MORPHINE_ADDICTION
GNB3,KEGG_MM_MORPHINE_ADDICTION
GNB4,KEGG_MM_MORPHINE_ADDICTION
GNB5,KEGG_MM_MORPHINE_ADDICTION
GNGT1,KEGG_MM_MORPHINE_ADDICTION
GNG10,KEGG_MM_MORPHINE_ADDICTION
GNG12,KEGG_MM_MORPHINE_ADDICTION
GNG2,KEGG_MM_MORPHINE_ADDICTION
GNG3,KEGG_MM_MORPHINE_ADDICTION
GNG4,KEGG_MM_MORPHINE_ADDICTION
GNG5,KEGG_MM_MORPHINE_ADDICTION
GNG7,KEGG_MM_MORPHINE_ADDICTION
GNG8,KEGG_MM_MORPHINE_ADDICTION
GNGT2,KEGG_MM_MORPHINE_ADDICTION
GRK4,KEGG_MM_MORPHINE_ADDICTION
GRK5,KEGG_MM_MORPHINE_ADDICTION
KCNJ3,KEGG_MM_MORPHINE_ADDICTION
KCNJ5,KEGG_MM_MORPHINE_ADDICTION
KCNJ6,KEGG_MM_MORPHINE_ADDICTION
KCNJ9,KEGG_MM_MORPHINE_ADDICTION
OPRM1,KEGG_MM_MORPHINE_ADDICTION
PDE1A,KEGG_MM_MORPHINE_ADDICTION
PDE1B,KEGG_MM_MORPHINE_ADDICTION
PDE1C,KEGG_MM_MORPHINE_ADDICTION
PDE3B,KEGG_MM_MORPHINE_ADDICTION
PDE4A,KEGG_MM_MORPHINE_ADDICTION
PDE4B,KEGG_MM_MORPHINE_ADDICTION
PDE7A,KEGG_MM_MORPHINE_ADDICTION
PDE8A,KEGG_MM_MORPHINE_ADDICTION
PRKACA,KEGG_MM_MORPHINE_ADDICTION
PRKACB,KEGG_MM_MORPHINE_ADDICTION
PRKCA,KEGG_MM_MORPHINE_ADDICTION
PRKCB,KEGG_MM_MORPHINE_ADDICTION
PRKCG,KEGG_MM_MORPHINE_ADDICTION
PRKX,KEGG_MM_MORPHINE_ADDICTION
PDE2A,KEGG_MM_MORPHINE_ADDICTION
ADCY2,KEGG_MM_MORPHINE_ADDICTION
GABRP,KEGG_MM_MORPHINE_ADDICTION
ARRB2,KEGG_MM_MORPHINE_ADDICTION
PDE8B,KEGG_MM_MORPHINE_ADDICTION
SLC32A1,KEGG_MM_MORPHINE_ADDICTION
ADCY5,KEGG_MM_MORPHINE_ADDICTION
PDE4D,KEGG_MM_MORPHINE_ADDICTION
PDE10A,KEGG_MM_MORPHINE_ADDICTION
PDE11A,KEGG_MM_MORPHINE_ADDICTION
GABBR2,KEGG_MM_MORPHINE_ADDICTION
GRK6,KEGG_MM_MORPHINE_ADDICTION
PDE7B,KEGG_MM_MORPHINE_ADDICTION
GABRR3,KEGG_MM_MORPHINE_ADDICTION
ADCY1,KEGG_MM_MORPHINE_ADDICTION
GABBR1,KEGG_MM_MORPHINE_ADDICTION
PDE3A,KEGG_MM_MORPHINE_ADDICTION
GABRQ,KEGG_MM_MORPHINE_ADDICTION
GNG13,KEGG_MM_MORPHINE_ADDICTION
GNG11,KEGG_MM_MORPHINE_ADDICTION
GABRA5,KEGG_MM_NICOTINE_ADDICTION
CHRNA4,KEGG_MM_NICOTINE_ADDICTION
CHRNA6,KEGG_MM_NICOTINE_ADDICTION
CHRNA7,KEGG_MM_NICOTINE_ADDICTION
CHRNB2,KEGG_MM_NICOTINE_ADDICTION
CACNA1A,KEGG_MM_NICOTINE_ADDICTION
CACNA1B,KEGG_MM_NICOTINE_ADDICTION
SLC17A6,KEGG_MM_NICOTINE_ADDICTION
GABRA1,KEGG_MM_NICOTINE_ADDICTION
GABRA2,KEGG_MM_NICOTINE_ADDICTION
GABRA3,KEGG_MM_NICOTINE_ADDICTION
GABRA4,KEGG_MM_NICOTINE_ADDICTION
GABRA6,KEGG_MM_NICOTINE_ADDICTION
GABRB1,KEGG_MM_NICOTINE_ADDICTION
GABRB2,KEGG_MM_NICOTINE_ADDICTION
GABRB3,KEGG_MM_NICOTINE_ADDICTION
GABRD,KEGG_MM_NICOTINE_ADDICTION
GABRE,KEGG_MM_NICOTINE_ADDICTION
GABRG1,KEGG_MM_NICOTINE_ADDICTION
GABRG2,KEGG_MM_NICOTINE_ADDICTION
GABRG3,KEGG_MM_NICOTINE_ADDICTION
GABRR1,KEGG_MM_NICOTINE_ADDICTION
GABRR2,KEGG_MM_NICOTINE_ADDICTION
GRIA1,KEGG_MM_NICOTINE_ADDICTION
GRIA2,KEGG_MM_NICOTINE_ADDICTION
GRIA4,KEGG_MM_NICOTINE_ADDICTION
GRIN1,KEGG_MM_NICOTINE_ADDICTION
GRIN2A,KEGG_MM_NICOTINE_ADDICTION
GRIN2B,KEGG_MM_NICOTINE_ADDICTION
GRIN2C,KEGG_MM_NICOTINE_ADDICTION
GRIN2D,KEGG_MM_NICOTINE_ADDICTION
GRIN3B,KEGG_MM_NICOTINE_ADDICTION
SLC17A8,KEGG_MM_NICOTINE_ADDICTION
GABRP,KEGG_MM_NICOTINE_ADDICTION
SLC32A1,KEGG_MM_NICOTINE_ADDICTION
GRIN3A,KEGG_MM_NICOTINE_ADDICTION
GABRR3,KEGG_MM_NICOTINE_ADDICTION
GRIA3,KEGG_MM_NICOTINE_ADDICTION
GABRQ,KEGG_MM_NICOTINE_ADDICTION
SLC17A7,KEGG_MM_NICOTINE_ADDICTION
GM14920,KEGG_MM_ALCOHOLISM
HIST1H4M,KEGG_MM_ALCOHOLISM
GM16501,KEGG_MM_ALCOHOLISM
GM14483,KEGG_MM_ALCOHOLISM
GM14474,KEGG_MM_ALCOHOLISM
GM14477,KEGG_MM_ALCOHOLISM
GM14476,KEGG_MM_ALCOHOLISM
GM14479,KEGG_MM_ALCOHOLISM
GM14482,KEGG_MM_ALCOHOLISM
GM14478,KEGG_MM_ALCOHOLISM
GM14475,KEGG_MM_ALCOHOLISM
GM15776,KEGG_MM_ALCOHOLISM
LOC100047997,KEGG_MM_ALCOHOLISM
LOC100048410,KEGG_MM_ALCOHOLISM
GM5741,KEGG_MM_ALCOHOLISM
HAT1,KEGG_MM_ALCOHOLISM
NPY,KEGG_MM_ALCOHOLISM
MAOB,KEGG_MM_ALCOHOLISM
BRAF,KEGG_MM_ALCOHOLISM
RAF1,KEGG_MM_ALCOHOLISM
SLC18A1,KEGG_MM_ALCOHOLISM
ADORA2A,KEGG_MM_ALCOHOLISM
ADORA2B,KEGG_MM_ALCOHOLISM
ARAF,KEGG_MM_ALCOHOLISM
ATF2,KEGG_MM_ALCOHOLISM
ATF4,KEGG_MM_ALCOHOLISM
BDNF,KEGG_MM_ALCOHOLISM
CALM1,KEGG_MM_ALCOHOLISM
CALM2,KEGG_MM_ALCOHOLISM
CALM3,KEGG_MM_ALCOHOLISM
CAMK4,KEGG_MM_ALCOHOLISM
CREB1,KEGG_MM_ALCOHOLISM
CREB3,KEGG_MM_ALCOHOLISM
ATF6B,KEGG_MM_ALCOHOLISM
CRH,KEGG_MM_ALCOHOLISM
SLC6A3,KEGG_MM_ALCOHOLISM
DDC,KEGG_MM_ALCOHOLISM
DRD1A,KEGG_MM_ALCOHOLISM
DRD2,KEGG_MM_ALCOHOLISM
FOSB,KEGG_MM_ALCOHOLISM
GNAI1,KEGG_MM_ALCOHOLISM
GNAI2,KEGG_MM_ALCOHOLISM
GNAI3,KEGG_MM_ALCOHOLISM
GNAO1,KEGG_MM_ALCOHOLISM
GNAS,KEGG_MM_ALCOHOLISM
GNB1,KEGG_MM_ALCOHOLISM
GNB2,KEGG_MM_ALCOHOLISM
GNB3,KEGG_MM_ALCOHOLISM
GNB4,KEGG_MM_ALCOHOLISM
GNB5,KEGG_MM_ALCOHOLISM
GNGT1,KEGG_MM_ALCOHOLISM
GNG10,KEGG_MM_ALCOHOLISM
GNG12,KEGG_MM_ALCOHOLISM
GNG2,KEGG_MM_ALCOHOLISM
GNG3,KEGG_MM_ALCOHOLISM
GNG4,KEGG_MM_ALCOHOLISM
GNG5,KEGG_MM_ALCOHOLISM
GNG7,KEGG_MM_ALCOHOLISM
GNG8,KEGG_MM_ALCOHOLISM
GNGT2,KEGG_MM_ALCOHOLISM
GRB2,KEGG_MM_ALCOHOLISM
GRIN1,KEGG_MM_ALCOHOLISM
GRIN2A,KEGG_MM_ALCOHOLISM
GRIN2B,KEGG_MM_ALCOHOLISM
GRIN2C,KEGG_MM_ALCOHOLISM
GRIN2D,KEGG_MM_ALCOHOLISM
HIST2H3C1,KEGG_MM_ALCOHOLISM
H3F3A,KEGG_MM_ALCOHOLISM
H3F3B,KEGG_MM_ALCOHOLISM
HDAC2,KEGG_MM_ALCOHOLISM
HDAC3,KEGG_MM_ALCOHOLISM
HDAC5,KEGG_MM_ALCOHOLISM
HDAC6,KEGG_MM_ALCOHOLISM
HIST2H2AA1,KEGG_MM_ALCOHOLISM
H2AFX,KEGG_MM_ALCOHOLISM
HRAS1,KEGG_MM_ALCOHOLISM
KRAS,KEGG_MM_ALCOHOLISM
GRIN3B,KEGG_MM_ALCOHOLISM
HDAC10,KEGG_MM_ALCOHOLISM
MAOA,KEGG_MM_ALCOHOLISM
NRAS,KEGG_MM_ALCOHOLISM
NTRK2,KEGG_MM_ALCOHOLISM
PDYN,KEGG_MM_ALCOHOLISM
PRKACA,KEGG_MM_ALCOHOLISM
PKIA,KEGG_MM_ALCOHOLISM
PPP1CA,KEGG_MM_ALCOHOLISM
PPP1CB,KEGG_MM_ALCOHOLISM
PPP1CC,KEGG_MM_ALCOHOLISM
PPP1R1B,KEGG_MM_ALCOHOLISM
SHC1,KEGG_MM_ALCOHOLISM
SHC3,KEGG_MM_ALCOHOLISM
SOS1,KEGG_MM_ALCOHOLISM
SOS2,KEGG_MM_ALCOHOLISM
CAMKK2,KEGG_MM_ALCOHOLISM
CREB3L2,KEGG_MM_ALCOHOLISM
CREB3L3,KEGG_MM_ALCOHOLISM
HDAC4,KEGG_MM_ALCOHOLISM
SLC18A2,KEGG_MM_ALCOHOLISM
SHC2,KEGG_MM_ALCOHOLISM
TH,KEGG_MM_ALCOHOLISM
ADCY5,KEGG_MM_ALCOHOLISM
CREB5,KEGG_MM_ALCOHOLISM
HDAC11,KEGG_MM_ALCOHOLISM
H2AFJ,KEGG_MM_ALCOHOLISM
GM4906,KEGG_MM_ALCOHOLISM
GRIN3A,KEGG_MM_ALCOHOLISM
HIST1H3F,KEGG_MM_ALCOHOLISM
MAP2K1,KEGG_MM_ALCOHOLISM
MAPK1,KEGG_MM_ALCOHOLISM
MAPK3,KEGG_MM_ALCOHOLISM
CREB3L1,KEGG_MM_ALCOHOLISM
H2AFY,KEGG_MM_ALCOHOLISM
SHC4,KEGG_MM_ALCOHOLISM
HIST1H3C,KEGG_MM_ALCOHOLISM
HIST1H3D,KEGG_MM_ALCOHOLISM
HIST1H3B,KEGG_MM_ALCOHOLISM
HIST1H3E,KEGG_MM_ALCOHOLISM
HIST1H3H,KEGG_MM_ALCOHOLISM
HIST1H3I,KEGG_MM_ALCOHOLISM
HIST2H3B,KEGG_MM_ALCOHOLISM
HIST1H4C,KEGG_MM_ALCOHOLISM
HIST1H4D,KEGG_MM_ALCOHOLISM
HIST1H4F,KEGG_MM_ALCOHOLISM
HIST1H4I,KEGG_MM_ALCOHOLISM
HIST1H4J,KEGG_MM_ALCOHOLISM
HIST1H4K,KEGG_MM_ALCOHOLISM
HIST1H4N,KEGG_MM_ALCOHOLISM
HIST3H2A,KEGG_MM_ALCOHOLISM
HIST1H2AA,KEGG_MM_ALCOHOLISM
HIST1H2AC,KEGG_MM_ALCOHOLISM
HIST1H2AD,KEGG_MM_ALCOHOLISM
HIST1H2AE,KEGG_MM_ALCOHOLISM
HIST1H2AG,KEGG_MM_ALCOHOLISM
HIST1H2AH,KEGG_MM_ALCOHOLISM
HIST1H2AK,KEGG_MM_ALCOHOLISM
HIST1H2AN,KEGG_MM_ALCOHOLISM
HIST1H2AP,KEGG_MM_ALCOHOLISM
HIST1H2AB,KEGG_MM_ALCOHOLISM
HIST1H2AF,KEGG_MM_ALCOHOLISM
HIST2H2AC,KEGG_MM_ALCOHOLISM
HIST1H2BA,KEGG_MM_ALCOHOLISM
HIST1H2BB,KEGG_MM_ALCOHOLISM
HIST1H2BE,KEGG_MM_ALCOHOLISM
HIST1H2BF,KEGG_MM_ALCOHOLISM
HIST1H2BG,KEGG_MM_ALCOHOLISM
HIST1H2BH,KEGG_MM_ALCOHOLISM
HIST1H2BJ,KEGG_MM_ALCOHOLISM
HIST1H2BK,KEGG_MM_ALCOHOLISM
HIST1H2BL,KEGG_MM_ALCOHOLISM
HIST1H2BM,KEGG_MM_ALCOHOLISM
HIST1H2BN,KEGG_MM_ALCOHOLISM
HIST1H2BP,KEGG_MM_ALCOHOLISM
HIST2H2BB,KEGG_MM_ALCOHOLISM
HIST2H2BE,KEGG_MM_ALCOHOLISM
HIST1H2AI,KEGG_MM_ALCOHOLISM
HIST2H2AA2,KEGG_MM_ALCOHOLISM
HIST4H4,KEGG_MM_ALCOHOLISM
HIST1H4A,KEGG_MM_ALCOHOLISM
HIST1H4B,KEGG_MM_ALCOHOLISM
GM5132,KEGG_MM_ALCOHOLISM
HIST1H3A,KEGG_MM_ALCOHOLISM
HIST3H2BB-PS,KEGG_MM_ALCOHOLISM
GM5382,KEGG_MM_ALCOHOLISM
H2AFY2,KEGG_MM_ALCOHOLISM
HDAC1,KEGG_MM_ALCOHOLISM
CALM5,KEGG_MM_ALCOHOLISM
H2AFZ,KEGG_MM_ALCOHOLISM
GM10257,KEGG_MM_ALCOHOLISM
GM14501,KEGG_MM_ALCOHOLISM
GM14484,KEGG_MM_ALCOHOLISM
GM6026,KEGG_MM_ALCOHOLISM
CAMKK1,KEGG_MM_ALCOHOLISM
HDAC7,KEGG_MM_ALCOHOLISM
HIST2H2AB,KEGG_MM_ALCOHOLISM
H2AFB2-PS,KEGG_MM_ALCOHOLISM
H2AFB3-PS,KEGG_MM_ALCOHOLISM
H3F3C,KEGG_MM_ALCOHOLISM
GM12271,KEGG_MM_ALCOHOLISM
GM6749,KEGG_MM_ALCOHOLISM
SLC29A1,KEGG_MM_ALCOHOLISM
GNG13,KEGG_MM_ALCOHOLISM
GNG11,KEGG_MM_ALCOHOLISM
HIST1H2AO,KEGG_MM_ALCOHOLISM
HIST1H2BQ,KEGG_MM_ALCOHOLISM
HIST1H2BR,KEGG_MM_ALCOHOLISM
GM12657,KEGG_MM_ALCOHOLISM
HIST1H2BC,KEGG_MM_ALCOHOLISM
H2AFB1,KEGG_MM_ALCOHOLISM
1700024P04RIK,KEGG_MM_ALCOHOLISM
HIST1H4H,KEGG_MM_ALCOHOLISM
H2BFM,KEGG_MM_ALCOHOLISM
HDAC8,KEGG_MM_ALCOHOLISM
CALML3,KEGG_MM_ALCOHOLISM
1700012L04RIK,KEGG_MM_ALCOHOLISM
H2AFV,KEGG_MM_ALCOHOLISM
CREB3L4,KEGG_MM_ALCOHOLISM
HIST3H2BA,KEGG_MM_ALCOHOLISM
HDAC9,KEGG_MM_ALCOHOLISM
CALM4,KEGG_MM_ALCOHOLISM
HIST2H3C2,KEGG_MM_ALCOHOLISM
HIST2H4,KEGG_MM_ALCOHOLISM
HIST1H3G,KEGG_MM_ALCOHOLISM
DNM3,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ACTB,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ACTG1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
RHOA,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARPC1B,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CTNNA1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CTNNA2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CTNNB1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CAV1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CAV2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CAV3,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CBL,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CD2AP,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CDC42,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CDH1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CLTA,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
BCAR1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CRK,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CRKL,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CTTN,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
DNM1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
DNM2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ELMO1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PTK2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
FN1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
GAB1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
HCLS1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ILK,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ITGA5,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ITGB1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
MET,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3CA,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3CD,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3R1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3R2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3R3,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PXN,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
RAC1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
SHC1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
SHC3,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
SRC,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CBLB,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CTNNA3,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
SHC2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
VCL,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
WAS,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
WASF2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
SHC4,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3CG,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3R5,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
DOCK1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
GM5637,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
RHOG,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARPC3,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARPC1A,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARHGEF26,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CLTC,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
4930544G11RIK,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARPC5,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARPC4,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
MAD2L2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
WASL,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
DNM1L,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARPC5L,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CLTB,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PIK3CB,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARPC2,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
ARHGAP10,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
CBLC,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
WASF1,KEGG_MM_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS
PKN2,KEGG_MM_SALMONELLA_INFECTION
DYNC2H1,KEGG_MM_SALMONELLA_INFECTION
ACTB,KEGG_MM_SALMONELLA_INFECTION
ACTG1,KEGG_MM_SALMONELLA_INFECTION
ARPC1B,KEGG_MM_SALMONELLA_INFECTION
CASP1,KEGG_MM_SALMONELLA_INFECTION
CD14,KEGG_MM_SALMONELLA_INFECTION
CDC42,KEGG_MM_SALMONELLA_INFECTION
CSF2,KEGG_MM_SALMONELLA_INFECTION
DYNC1H1,KEGG_MM_SALMONELLA_INFECTION
DYNC1I1,KEGG_MM_SALMONELLA_INFECTION
DYNC1I2,KEGG_MM_SALMONELLA_INFECTION
FOS,KEGG_MM_SALMONELLA_INFECTION
CXCL1,KEGG_MM_SALMONELLA_INFECTION
IFNG,KEGG_MM_SALMONELLA_INFECTION
IFNGR1,KEGG_MM_SALMONELLA_INFECTION
IFNGR2,KEGG_MM_SALMONELLA_INFECTION
IL18,KEGG_MM_SALMONELLA_INFECTION
IL1A,KEGG_MM_SALMONELLA_INFECTION
IL1B,KEGG_MM_SALMONELLA_INFECTION
IL6,KEGG_MM_SALMONELLA_INFECTION
JUN,KEGG_MM_SALMONELLA_INFECTION
KLC1,KEGG_MM_SALMONELLA_INFECTION
KLC2,KEGG_MM_SALMONELLA_INFECTION
LBP,KEGG_MM_SALMONELLA_INFECTION
MYD88,KEGG_MM_SALMONELLA_INFECTION
NFKB1,KEGG_MM_SALMONELLA_INFECTION
NOS2,KEGG_MM_SALMONELLA_INFECTION
PFN1,KEGG_MM_SALMONELLA_INFECTION
PFN2,KEGG_MM_SALMONELLA_INFECTION
MAPK11,KEGG_MM_SALMONELLA_INFECTION
FLNA,KEGG_MM_SALMONELLA_INFECTION
RAB7,KEGG_MM_SALMONELLA_INFECTION
RAC1,KEGG_MM_SALMONELLA_INFECTION
RELA,KEGG_MM_SALMONELLA_INFECTION
ROCK1,KEGG_MM_SALMONELLA_INFECTION
ROCK2,KEGG_MM_SALMONELLA_INFECTION
CCL3,KEGG_MM_SALMONELLA_INFECTION
CCL4,KEGG_MM_SALMONELLA_INFECTION
CXCL2,KEGG_MM_SALMONELLA_INFECTION
TJP1,KEGG_MM_SALMONELLA_INFECTION
TLR4,KEGG_MM_SALMONELLA_INFECTION
WAS,KEGG_MM_SALMONELLA_INFECTION
5430435G22RIK,KEGG_MM_SALMONELLA_INFECTION
KLC3,KEGG_MM_SALMONELLA_INFECTION
DYNC1LI2,KEGG_MM_SALMONELLA_INFECTION
DYNC1LI1,KEGG_MM_SALMONELLA_INFECTION
WASF2,KEGG_MM_SALMONELLA_INFECTION
PKN3,KEGG_MM_SALMONELLA_INFECTION
MAPK1,KEGG_MM_SALMONELLA_INFECTION
MAPK10,KEGG_MM_SALMONELLA_INFECTION
MAPK13,KEGG_MM_SALMONELLA_INFECTION
MAPK14,KEGG_MM_SALMONELLA_INFECTION
MAPK3,KEGG_MM_SALMONELLA_INFECTION
MAPK8,KEGG_MM_SALMONELLA_INFECTION
MAPK9,KEGG_MM_SALMONELLA_INFECTION
NLRC4,KEGG_MM_SALMONELLA_INFECTION
RILP,KEGG_MM_SALMONELLA_INFECTION
FLNB,KEGG_MM_SALMONELLA_INFECTION
MAPK12,KEGG_MM_SALMONELLA_INFECTION
PKN1,KEGG_MM_SALMONELLA_INFECTION
CXCL3,KEGG_MM_SALMONELLA_INFECTION
PFN4,KEGG_MM_SALMONELLA_INFECTION
GM5637,KEGG_MM_SALMONELLA_INFECTION
TLR5,KEGG_MM_SALMONELLA_INFECTION
RHOG,KEGG_MM_SALMONELLA_INFECTION
ARPC3,KEGG_MM_SALMONELLA_INFECTION
ARPC1A,KEGG_MM_SALMONELLA_INFECTION
PYCARD,KEGG_MM_SALMONELLA_INFECTION
ARPC5,KEGG_MM_SALMONELLA_INFECTION
ARPC4,KEGG_MM_SALMONELLA_INFECTION
FLNC,KEGG_MM_SALMONELLA_INFECTION
PLEKHM2,KEGG_MM_SALMONELLA_INFECTION
WASL,KEGG_MM_SALMONELLA_INFECTION
ARPC5L,KEGG_MM_SALMONELLA_INFECTION
KLC4,KEGG_MM_SALMONELLA_INFECTION
PFN3,KEGG_MM_SALMONELLA_INFECTION
ARPC2,KEGG_MM_SALMONELLA_INFECTION
WASF1,KEGG_MM_SALMONELLA_INFECTION
TICAM1,KEGG_MM_PERTUSSIS
NOD1,KEGG_MM_PERTUSSIS
TIRAP,KEGG_MM_PERTUSSIS
RHOA,KEGG_MM_PERTUSSIS
SERPING1,KEGG_MM_PERTUSSIS
C1QA,KEGG_MM_PERTUSSIS
C1QB,KEGG_MM_PERTUSSIS
C1QC,KEGG_MM_PERTUSSIS
C2,KEGG_MM_PERTUSSIS
C3,KEGG_MM_PERTUSSIS
C4B,KEGG_MM_PERTUSSIS
C4BP,KEGG_MM_PERTUSSIS
CALM1,KEGG_MM_PERTUSSIS
CALM2,KEGG_MM_PERTUSSIS
CALM3,KEGG_MM_PERTUSSIS
CASP1,KEGG_MM_PERTUSSIS
CASP3,KEGG_MM_PERTUSSIS
CASP7,KEGG_MM_PERTUSSIS
CD14,KEGG_MM_PERTUSSIS
CFL1,KEGG_MM_PERTUSSIS
CFL2,KEGG_MM_PERTUSSIS
FOS,KEGG_MM_PERTUSSIS
GNAI1,KEGG_MM_PERTUSSIS
GNAI2,KEGG_MM_PERTUSSIS
GNAI3,KEGG_MM_PERTUSSIS
HC,KEGG_MM_PERTUSSIS
IRF8,KEGG_MM_PERTUSSIS
IL10,KEGG_MM_PERTUSSIS
IL12A,KEGG_MM_PERTUSSIS
IL12B,KEGG_MM_PERTUSSIS
IL1A,KEGG_MM_PERTUSSIS
IL1B,KEGG_MM_PERTUSSIS
IRAK1,KEGG_MM_PERTUSSIS
IL6,KEGG_MM_PERTUSSIS
IRF1,KEGG_MM_PERTUSSIS
ITGA5,KEGG_MM_PERTUSSIS
ITGAM,KEGG_MM_PERTUSSIS
ITGB1,KEGG_MM_PERTUSSIS
ITGB2,KEGG_MM_PERTUSSIS
